iter	Logloss
0	0.6694688159
1	0.6492771914
2	0.6284770582
3	0.6098104841
4	0.5913508208
5	0.5763595519
6	0.5595663231
7	0.5429201002
8	0.5286912178
9	0.5142477049
10	0.5011186444
11	0.487277089
12	0.4756475856
13	0.4640538222
14	0.4512920464
15	0.4404375213
16	0.4298249712
17	0.420207621
18	0.4116888271
19	0.4017251292
20	0.3935818184
21	0.3843968706
22	0.375632739
23	0.3686309838
24	0.3625911757
25	0.3555794357
26	0.3480841309
27	0.3417585332
28	0.3352439044
29	0.3288561565
30	0.3218670215
31	0.3164177126
32	0.3113652312
33	0.3061040504
34	0.3003517555
35	0.2961397971
36	0.2925859052
37	0.2883062193
38	0.2834298872
39	0.2787452539
40	0.2755017501
41	0.2717448632
42	0.2684569789
43	0.2656011894
44	0.2620300103
45	0.2585935709
46	0.2562057658
47	0.2527579327
48	0.2501513527
49	0.2472322503
50	0.2449538481
51	0.2425676126
52	0.2397228009
53	0.2372392952
54	0.2343767318
55	0.2319657812
56	0.2294210807
57	0.2277889712
58	0.2255564996
59	0.2238108484
60	0.2215602995
61	0.2198163162
62	0.2178747691
63	0.2158607305
64	0.2141804029
65	0.2122482912
66	0.2105651736
67	0.2092259952
68	0.2079225836
69	0.2061711296
70	0.2047702665
71	0.2033370985
72	0.2017210067
73	0.2006795829
74	0.1992339905
75	0.1974640856
76	0.1960113902
77	0.1948810202
78	0.1930800928
79	0.1918166089
80	0.1905585784
81	0.1891317771
82	0.1880846095
83	0.1866758063
84	0.1853853227
85	0.1842899188
86	0.1832384638
87	0.181991817
88	0.1809355421
89	0.179625873
90	0.1784678651
91	0.1774994703
92	0.1766021155
93	0.1756247992
94	0.1744481732
95	0.1732226886
96	0.1725318836
97	0.1717687426
98	0.1708766747
99	0.1700389451
100	0.169077493
101	0.1682396636
102	0.1674822467
103	0.1665494219
104	0.1658786417
105	0.1651643194
106	0.1643166719
107	0.163665341
108	0.1630606335
109	0.1623385995
110	0.1614819049
111	0.1607653615
112	0.1602555585
113	0.1595958645
114	0.1590169965
115	0.1583397878
116	0.1577715695
117	0.156960526
118	0.1565108754
119	0.1560320632
120	0.1555076507
121	0.1550345607
122	0.1546110027
123	0.1539797486
124	0.1532809552
125	0.1527365814
126	0.1520036939
127	0.1512194581
128	0.1508119798
129	0.1503253923
130	0.1497005709
131	0.1491527467
132	0.1486925682
133	0.148155248
134	0.1477092256
135	0.147235465
136	0.1468742875
137	0.1464103935
138	0.1459444601
139	0.1454921032
140	0.1449387578
141	0.1444696718
142	0.1438982828
143	0.1434614606
144	0.1428718261
145	0.1424749662
146	0.1421243375
147	0.1418042356
148	0.1413938737
149	0.1410146551
150	0.1406461822
151	0.1403531266
152	0.1398982462
153	0.1393966515
154	0.1390205022
155	0.1386549511
156	0.1381951472
157	0.1378831745
158	0.1374007197
159	0.1370504552
160	0.1367915932
161	0.1365574281
162	0.1361167182
163	0.1356462875
164	0.1352349933
165	0.1348352966
166	0.1344474577
167	0.1341823145
168	0.1337702373
169	0.1334071015
170	0.1331124608
171	0.1328288307
172	0.1325014684
173	0.1320038469
174	0.1316408847
175	0.1311962516
176	0.1307776646
177	0.1304971963
178	0.1302279624
179	0.1299454233
180	0.1296224286
181	0.1294619923
182	0.1290708888
183	0.1289342048
184	0.1287056138
185	0.1284289003
186	0.1280913558
187	0.1278106874
188	0.1275867906
189	0.1273063291
190	0.1269635168
191	0.1266934607
192	0.126368694
193	0.1260038393
194	0.1257349696
195	0.1255651626
196	0.1252764492
197	0.1250955109
198	0.1247216819
199	0.1245181659
200	0.1243112307
201	0.1240271021
202	0.123694786
203	0.1233599977
204	0.1231730106
205	0.1230352643
206	0.1226970542
207	0.12244449
208	0.1221509112
209	0.1218103273
210	0.1216707749
211	0.1214248131
212	0.1212799589
213	0.1210495065
214	0.1209113207
215	0.1205161583
216	0.1203638193
217	0.1200280395
218	0.1197966197
219	0.1194776436
220	0.1192950272
221	0.1190848277
222	0.1189136993
223	0.1186809561
224	0.1184626718
225	0.1183498488
226	0.1179709448
227	0.1177755465
228	0.1175004312
229	0.1172656602
230	0.1171647918
231	0.1168920401
232	0.1166315772
233	0.1165249395
234	0.1163239172
235	0.1162083339
236	0.1159538727
237	0.1156661401
238	0.1155696264
239	0.1154109926
240	0.1153173557
241	0.115138482
242	0.1148553892
243	0.1145789185
