iter	Passed	Remaining
0	80	80108
1	128	64312
2	181	60260
3	236	58983
4	290	57768
5	342	56808
6	396	56208
7	446	55408
8	497	54760
9	546	54093
10	600	54020
11	660	54346
12	708	53762
13	760	53544
14	810	53205
15	863	53116
16	916	52973
17	970	52960
18	1025	52930
19	1077	52818
20	1127	52559
21	1180	52488
22	1228	52180
23	1280	52070
24	1328	51824
25	1390	52085
26	1442	51973
27	1490	51736
28	1540	51572
29	1592	51480
30	1641	51300
31	1692	51187
32	1750	51295
33	1816	51608
34	1870	51567
35	1920	51415
36	1971	51319
37	2025	51279
38	2078	51219
39	2128	51092
40	2177	50943
41	2230	50865
42	2277	50693
43	2328	50598
44	2407	51089
45	2476	51352
46	2529	51280
47	2580	51186
48	2634	51125
49	2683	50990
50	2736	50923
51	2791	50898
52	2843	50802
53	2891	50658
54	2943	50568
55	2996	50511
56	3046	50392
57	3090	50186
58	3140	50091
59	3190	49986
60	3241	49895
61	3292	49805
62	3340	49683
63	3391	49599
64	3441	49510
65	3491	49411
66	3542	49329
67	3594	49263
68	3641	49133
69	3690	49024
70	3739	48933
71	3790	48852
72	3843	48812
73	3893	48716
74	3940	48600
75	3990	48520
76	4038	48414
77	4091	48359
78	4140	48271
79	4194	48233
80	4248	48201
81	4303	48176
82	4359	48161
83	4408	48070
84	4458	47996
85	4507	47900
86	4557	47827
87	4607	47746
88	4659	47699
89	4710	47623
90	4764	47592
91	4816	47532
92	4870	47504
93	4921	47433
94	4973	47382
95	5028	47351
96	5080	47297
97	5134	47258
98	5188	47220
99	5237	47137
100	5287	47061
101	5342	47035
102	5392	46960
103	5442	46892
104	5494	46837
105	5543	46753
106	5592	46677
107	5643	46612
108	5698	46578
109	5754	46558
110	5804	46484
111	5855	46426
112	5906	46359
113	5954	46278
114	6005	46212
115	6055	46148
116	6107	46091
117	6160	46044
118	6211	45984
119	6263	45931
120	6310	45845
121	6363	45798
122	6416	45747
123	6465	45678
124	6514	45599
125	6566	45548
126	6615	45477
127	6667	45423
128	6718	45362
129	6766	45280
130	6815	45209
131	6863	45135
132	6916	45084
133	6964	45007
134	7016	44960
135	7065	44884
136	7116	44827
137	7166	44764
138	7216	44698
139	7267	44642
140	7322	44613
141	7377	44574
142	7427	44511
143	7479	44459
144	7533	44422
145	7582	44349
146	7634	44298
147	7682	44228
148	7737	44191
149	7783	44105
150	7835	44055
151	7892	44032
152	7947	43998
153	7997	43936
154	8047	43871
155	8102	43838
156	8153	43777
157	8202	43711
158	8253	43655
159	8306	43609
160	8360	43570
161	8413	43522
162	8465	43469
163	8516	43412
164	8566	43353
165	8620	43312
166	8674	43267
167	8729	43231
168	8777	43160
169	8833	43126
170	8884	43069
171	8934	43012
172	8988	42967
173	9044	42936
174	9094	42875
175	9150	42838
176	9200	42780
177	9255	42743
178	9320	42748
179	9372	42697
180	9424	42642
181	9477	42597
182	9532	42557
183	9585	42509
184	9637	42458
185	9691	42414
186	9738	42341
187	9789	42283
188	9855	42290
189	9908	42240
190	9958	42179
191	10011	42131
192	10060	42067
193	10116	42030
194	10172	41992
195	10225	41947
196	10279	41899
197	10334	41859
198	10388	41816
199	10444	41779
200	10496	41725
201	10547	41669
202	10600	41618
203	10656	41580
204	10709	41530
205	10758	41467
206	10808	41406
207	10859	41350
208	10905	41274
209	10957	41219
210	11008	41163
211	11058	41104
212	11111	41055
213	11163	41000
214	11216	40954
215	11268	40900
216	11324	40860
217	11375	40806
218	11428	40757
219	11482	40710
220	11541	40682
221	11594	40634
222	11648	40587
223	11701	40535
224	11753	40485
225	11803	40424
226	11859	40385
227	11913	40337
228	11969	40297
229	12021	40247
230	12075	40198
231	12128	40150
232	12183	40106
233	12236	40056
234	12292	40015
235	12346	39968
236	12399	39918
237	12456	39880
238	12508	39827
239	12560	39776
240	12616	39734
241	12670	39688
242	12732	39666
243	12787	39619
244	12844	39582
245	12897	39530
246	12951	39485
247	13004	39431
248	13057	39381
249	13112	39336
250	13164	39284
251	13219	39239
252	13267	39173
253	13330	39150
254	13382	39097
255	13430	39033
256	13481	38976
257	13531	38916
258	13587	38873
259	13640	38822
260	13694	38774
261	13747	38723
262	13802	38678
263	13851	38617
264	13903	38561
265	13952	38499
266	14005	38449
267	14054	38386
268	14107	38338
269	14159	38282
270	14211	38230
271	14262	38174
272	14311	38112
273	14365	38064
274	14418	38011
275	14470	37958
276	14526	37914
277	14578	37861
278	14635	37821
279	14687	37767
280	14742	37722
281	14795	37671
282	14845	37611
283	14896	37556
284	14951	37508
285	15005	37460
286	15059	37412
287	15112	37360
288	15163	37304
289	15213	37247
290	15273	37213
291	15327	37162
292	15380	37112
293	15429	37051
294	15480	36996
295	15530	36937
296	15583	36886
297	15637	36836
298	15693	36792
299	15745	36738
300	15797	36685
301	15853	36641
302	15908	36594
303	15959	36539
304	16012	36488
305	16065	36437
306	16122	36393
307	16173	36337
308	16228	36291
309	16285	36248
310	16340	36201
311	16392	36148
312	16444	36093
313	16496	36040
314	16550	35989
315	16608	35949
316	16659	35893
317	16709	35836
318	16762	35785
319	16816	35735
320	16867	35678
321	16921	35630
322	16971	35572
323	17025	35522
324	17080	35475
325	17133	35423
326	17186	35371
327	17238	35318
328	17291	35265
329	17347	35220
330	17397	35163
331	17448	35107
332	17501	35056
333	17551	34998
334	17606	34949
335	17657	34893
336	17706	34834
337	17757	34780
338	17811	34729
339	17867	34683
340	17917	34625
341	17968	34570
342	18018	34512
343	18071	34461
344	18120	34401
345	18172	34349
346	18224	34295
347	18277	34243
348	18330	34191
349	18383	34140
350	18434	34084
351	18485	34030
352	18535	33972
353	18591	33927
354	18645	33876
355	18696	33821
356	18746	33765
357	18797	33710
358	18853	33663
359	18909	33616
360	18960	33562
361	19010	33504
362	19067	33460
363	19121	33410
364	19172	33355
365	19227	33306
366	19280	33254
367	19332	33200
368	19385	33149
369	19439	33099
370	19495	33052
371	19545	32996
372	19614	32970
373	19664	32914
374	19723	32872
375	19777	32821
376	19832	32772
377	19888	32726
378	19945	32680
379	20001	32634
380	20058	32588
381	20122	32553
382	20172	32497
383	20226	32446
384	20276	32389
